home_team,away_team,home_times,away_times,home_win,away_win,home_goals,away_goals,home_r_win,away_r_win,home_Ave_goal,away_Ave_goal,result
Belgium,USA,48,33,20,8,68,37,0.4166666666666667,0.2424242424242424,1.4166666666666667,1.121212121212121,0
France,Mexico,66,57,34,16,120,60,0.5151515151515151,0.2807017543859649,1.818181818181818,1.0526315789473684,1
Brazil,Yugoslavia,109,33,73,14,229,55,0.6697247706422018,0.4242424242424242,2.1009174311926606,1.6666666666666667,0
Peru,Romania,18,21,5,8,21,30,0.2777777777777778,0.3809523809523809,1.1666666666666667,1.4285714285714286,0
Argentina,France,81,66,43,34,137,120,0.5308641975308642,0.5151515151515151,1.691358024691358,1.818181818181818,1
Chile,Mexico,33,57,11,16,40,60,0.3333333333333333,0.2807017543859649,1.2121212121212122,1.0526315789473684,1
Bolivia,Yugoslavia,6,33,0,14,1,55,0.0,0.4242424242424242,0.1666666666666666,1.6666666666666667,0
Paraguay,USA,27,33,7,8,30,37,0.2592592592592592,0.2424242424242424,1.1111111111111112,1.121212121212121,0
Uruguay,Peru,56,18,24,5,87,21,0.4285714285714285,0.2777777777777778,1.5535714285714286,1.1666666666666667,1
Argentina,Mexico,81,57,43,16,137,60,0.5308641975308642,0.2807017543859649,1.691358024691358,1.0526315789473684,1
Chile,France,33,66,11,34,40,120,0.3333333333333333,0.5151515151515151,1.2121212121212122,1.818181818181818,1
Belgium,Paraguay,48,27,20,7,68,30,0.4166666666666667,0.2592592592592592,1.4166666666666667,1.1111111111111112,0
Bolivia,Brazil,6,109,0,73,1,229,0.0,0.6697247706422018,0.1666666666666666,2.1009174311926606,0
Uruguay,Romania,56,21,24,8,87,30,0.4285714285714285,0.3809523809523809,1.5535714285714286,1.4285714285714286,1
Argentina,Chile,81,33,43,11,137,40,0.5308641975308642,0.3333333333333333,1.691358024691358,1.2121212121212122,1
Argentina,USA,81,33,43,8,137,37,0.5308641975308642,0.2424242424242424,1.691358024691358,1.121212121212121,1
Uruguay,Yugoslavia,56,33,24,14,87,55,0.4285714285714285,0.4242424242424242,1.5535714285714286,1.6666666666666667,1
Uruguay,Argentina,56,81,24,43,87,137,0.4285714285714285,0.5308641975308642,1.5535714285714286,1.691358024691358,1
Argentina,Sweden,81,51,43,19,137,80,0.5308641975308642,0.3725490196078431,1.691358024691358,1.568627450980392,0
Austria,France,29,66,12,34,43,120,0.4137931034482758,0.5151515151515151,1.4827586206896552,1.818181818181818,1
Belgium,Germany,48,109,20,67,68,226,0.4166666666666667,0.6146788990825688,1.4166666666666667,2.073394495412844,0
Brazil,Spain,109,63,73,30,229,99,0.6697247706422018,0.4761904761904761,2.1009174311926606,1.5714285714285714,0
Czechoslovakia,Romania,30,21,11,8,44,30,0.3666666666666666,0.3809523809523809,1.4666666666666666,1.4285714285714286,1
Egypt,Hungary,7,32,0,15,5,87,0.0,0.46875,0.7142857142857143,2.71875,0
Italy,USA,83,33,45,8,128,37,0.5421686746987951,0.2424242424242424,1.5421686746987953,1.121212121212121,1
Netherlands,Switzerland,50,37,27,12,86,50,0.54,0.3243243243243243,1.72,1.351351351351351,0
Austria,Hungary,29,32,12,15,43,87,0.4137931034482758,0.46875,1.4827586206896552,2.71875,1
Czechoslovakia,Switzerland,30,37,11,12,44,50,0.3666666666666666,0.3243243243243243,1.4666666666666666,1.351351351351351,1
Germany,Sweden,109,51,67,19,226,80,0.6146788990825688,0.3725490196078431,2.073394495412844,1.568627450980392,1
Italy,Spain,83,63,45,30,128,99,0.5421686746987951,0.4761904761904761,1.5421686746987953,1.5714285714285714,-1
Italy,Spain,83,63,45,30,128,99,0.5421686746987951,0.4761904761904761,1.5421686746987953,1.5714285714285714,1
Czechoslovakia,Germany,30,109,11,67,44,226,0.3666666666666666,0.6146788990825688,1.4666666666666666,2.073394495412844,1
Italy,Austria,83,29,45,12,128,43,0.5421686746987951,0.4137931034482758,1.5421686746987953,1.4827586206896552,1
Austria,Germany,29,109,12,67,43,226,0.4137931034482758,0.6146788990825688,1.4827586206896552,2.073394495412844,0
Italy,Czechoslovakia,83,30,45,11,128,44,0.5421686746987951,0.3666666666666666,1.5421686746987953,1.4666666666666666,1
Germany,Switzerland,109,37,67,12,226,50,0.6146788990825688,0.3243243243243243,2.073394495412844,1.351351351351351,-1
Brazil,Poland,109,34,73,16,229,46,0.6697247706422018,0.4705882352941176,2.1009174311926606,1.3529411764705883,1
Cuba,Romania,3,21,1,8,5,30,0.3333333333333333,0.3809523809523809,1.6666666666666667,1.4285714285714286,-1
Czechoslovakia,Netherlands,30,50,11,27,44,86,0.3666666666666666,0.54,1.4666666666666666,1.72,1
France,Belgium,66,48,34,20,120,68,0.5151515151515151,0.4166666666666667,1.818181818181818,1.4166666666666667,1
Hungary,Indonesia,32,1,15,0,87,0,0.46875,0.0,2.71875,0.0,1
Italy,Norway,83,8,45,2,128,7,0.5421686746987951,0.25,1.5421686746987953,0.875,1
Cuba,Romania,3,21,1,8,5,30,0.3333333333333333,0.3809523809523809,1.6666666666666667,1.4285714285714286,1
Germany,Switzerland,109,37,67,12,226,50,0.6146788990825688,0.3243243243243243,2.073394495412844,1.351351351351351,0
Brazil,Czechoslovakia,109,30,73,11,229,44,0.6697247706422018,0.3666666666666666,2.1009174311926606,1.4666666666666666,-1
Cuba,Sweden,3,51,1,19,5,80,0.3333333333333333,0.3725490196078431,1.6666666666666667,1.568627450980392,0
France,Italy,66,83,34,45,120,128,0.5151515151515151,0.5421686746987951,1.818181818181818,1.5421686746987953,0
Hungary,Switzerland,32,37,15,12,87,50,0.46875,0.3243243243243243,2.71875,1.351351351351351,1
Brazil,Czechoslovakia,109,30,73,11,229,44,0.6697247706422018,0.3666666666666666,2.1009174311926606,1.4666666666666666,1
Brazil,Italy,109,83,73,45,229,128,0.6697247706422018,0.5421686746987951,2.1009174311926606,1.5421686746987953,0
Hungary,Sweden,32,51,15,19,87,80,0.46875,0.3725490196078431,2.71875,1.568627450980392,1
Brazil,Sweden,109,51,73,19,229,80,0.6697247706422018,0.3725490196078431,2.1009174311926606,1.568627450980392,1
Hungary,Italy,32,83,15,45,87,128,0.46875,0.5421686746987951,2.71875,1.5421686746987953,0
Brazil,Mexico,109,57,73,16,229,60,0.6697247706422018,0.2807017543859649,2.1009174311926606,1.0526315789473684,1
Chile,England,33,69,11,29,40,91,0.3333333333333333,0.4202898550724637,1.2121212121212122,1.318840579710145,0
Italy,Sweden,83,51,45,19,128,80,0.5421686746987951,0.3725490196078431,1.5421686746987953,1.568627450980392,0
Spain,USA,63,33,30,8,99,37,0.4761904761904761,0.2424242424242424,1.5714285714285714,1.121212121212121,1
Switzerland,Yugoslavia,37,33,12,14,50,55,0.3243243243243243,0.4242424242424242,1.351351351351351,1.6666666666666667,0
Brazil,Switzerland,109,37,73,12,229,50,0.6697247706422018,0.3243243243243243,2.1009174311926606,1.351351351351351,-1
Mexico,Yugoslavia,57,33,16,14,60,55,0.2807017543859649,0.4242424242424242,1.0526315789473684,1.6666666666666667,0
Chile,Spain,33,63,11,30,40,99,0.3333333333333333,0.4761904761904761,1.2121212121212122,1.5714285714285714,0
England,USA,69,33,29,8,91,37,0.4202898550724637,0.2424242424242424,1.318840579710145,1.121212121212121,0
Paraguay,Sweden,27,51,7,19,30,80,0.2592592592592592,0.3725490196078431,1.1111111111111112,1.568627450980392,-1
Brazil,Yugoslavia,109,33,73,14,229,55,0.6697247706422018,0.4242424242424242,2.1009174311926606,1.6666666666666667,1
Bolivia,Uruguay,6,56,0,24,1,87,0.0,0.4285714285714285,0.1666666666666666,1.5535714285714286,0
Chile,USA,33,33,11,8,40,37,0.3333333333333333,0.2424242424242424,1.2121212121212122,1.121212121212121,1
England,Spain,69,63,29,30,91,99,0.4202898550724637,0.4761904761904761,1.318840579710145,1.5714285714285714,0
Italy,Paraguay,83,27,45,7,128,30,0.5421686746987951,0.2592592592592592,1.5421686746987953,1.1111111111111112,1
Mexico,Switzerland,57,37,16,12,60,50,0.2807017543859649,0.3243243243243243,1.0526315789473684,1.351351351351351,0
Brazil,Sweden,109,51,73,19,229,80,0.6697247706422018,0.3725490196078431,2.1009174311926606,1.568627450980392,1
Spain,Uruguay,63,56,30,24,99,87,0.4761904761904761,0.4285714285714285,1.5714285714285714,1.5535714285714286,-1
Brazil,Spain,109,63,73,30,229,99,0.6697247706422018,0.4761904761904761,2.1009174311926606,1.5714285714285714,1
Sweden,Uruguay,51,56,19,24,80,87,0.3725490196078431,0.4285714285714285,1.568627450980392,1.5535714285714286,0
Brazil,Uruguay,109,56,73,24,229,87,0.6697247706422018,0.4285714285714285,2.1009174311926606,1.5535714285714286,0
Spain,Sweden,63,51,30,19,99,80,0.4761904761904761,0.3725490196078431,1.5714285714285714,1.568627450980392,0
Austria,Scotland,29,23,12,4,43,25,0.4137931034482758,0.1739130434782608,1.4827586206896552,1.0869565217391304,1
Brazil,Mexico,109,57,73,16,229,60,0.6697247706422018,0.2807017543859649,2.1009174311926606,1.0526315789473684,1
Czechoslovakia,Uruguay,30,56,11,24,44,87,0.3666666666666666,0.4285714285714285,1.4666666666666666,1.5535714285714286,0
France,Yugoslavia,66,33,34,14,120,55,0.5151515151515151,0.4242424242424242,1.818181818181818,1.6666666666666667,0
Belgium,England,48,69,20,29,68,91,0.4166666666666667,0.4202898550724637,1.4166666666666667,1.318840579710145,-1
Germany,Turkey,109,10,67,5,226,20,0.6146788990825688,0.5,2.073394495412844,2.0,1
Hungary,Korea Republic,32,34,15,6,87,34,0.46875,0.1764705882352941,2.71875,1.0,1
Switzerland,Italy,37,83,12,45,50,128,0.3243243243243243,0.5421686746987951,1.351351351351351,1.5421686746987953,1
Austria,Czechoslovakia,29,30,12,11,43,44,0.4137931034482758,0.3666666666666666,1.4827586206896552,1.4666666666666666,1
Brazil,Yugoslavia,109,33,73,14,229,55,0.6697247706422018,0.4242424242424242,2.1009174311926606,1.6666666666666667,-1
France,Mexico,66,57,34,16,120,60,0.5151515151515151,0.2807017543859649,1.818181818181818,1.0526315789473684,1
Scotland,Uruguay,23,56,4,24,25,87,0.1739130434782608,0.4285714285714285,1.0869565217391304,1.5535714285714286,0
Belgium,Italy,48,83,20,45,68,128,0.4166666666666667,0.5421686746987951,1.4166666666666667,1.5421686746987953,0
Germany,Hungary,109,32,67,15,226,87,0.6146788990825688,0.46875,2.073394495412844,2.71875,0
Korea Republic,Turkey,34,10,6,5,34,20,0.1764705882352941,0.5,1.0,2.0,0
Switzerland,England,37,69,12,29,50,91,0.3243243243243243,0.4202898550724637,1.351351351351351,1.318840579710145,0
Germany,Turkey,109,10,67,5,226,20,0.6146788990825688,0.5,2.073394495412844,2.0,1
Switzerland,Italy,37,83,12,45,50,128,0.3243243243243243,0.5421686746987951,1.351351351351351,1.5421686746987953,1
England,Uruguay,69,56,29,24,91,87,0.4202898550724637,0.4285714285714285,1.318840579710145,1.5535714285714286,0
Switzerland,Austria,37,29,12,12,50,43,0.3243243243243243,0.4137931034482758,1.351351351351351,1.4827586206896552,0
